observation_id,run_id,scraped_at,platform,city,zone_type,address_id,address_label,latitude,longitude,store_id,store_name,product_canonical,product_raw_name,product_price,product_price_final,delivery_fee,service_fee,eta_min,eta_max,promo_present,promo_description,store_available,currency,capture_error
6c05fa82561f4837bc3c1e22219d98e4,run_20260422_200515,2026-04-22T20:07:02.697779+00:00,rappi,gdl,middle,gdl_centro_01,"Av. Juárez 238, Centro",20.6766,-103.3469,1923209058,McDonald's (Centro) F,mcnuggets_10,McNuggets de 10 Piezas,100.0,100.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
1710a5d4efa94b11a8f53fcead54527a,run_20260422_200515,2026-04-22T20:07:02.698854+00:00,rappi,gdl,middle,gdl_centro_01,"Av. Juárez 238, Centro",20.6766,-103.3469,1923209058,McDonald's (Centro) F,big_mac,Big Mac,100.0,100.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
4bb895225aeb486abe205115ad173100,run_20260422_200515,2026-04-22T20:07:02.698854+00:00,rappi,gdl,middle,gdl_centro_01,"Av. Juárez 238, Centro",20.6766,-103.3469,1923209058,McDonald's (Centro) F,happy_meal,Hamburguesa,45.0,45.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
571d4484fe674651a311839db66441a8,run_20260422_200515,2026-04-22T20:07:11.387596+00:00,rappi,gdl,middle,gdl_zapopan_01,"Av. Patria 1891, Zapopan",20.712,-103.4125,1923209053,McDonald's (Plaza Patria) F,mcnuggets_10,McNuggets de 10 Piezas,100.0,100.0,,,14.0,14.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
6735c5f911104506a2bf7c73c5463554,run_20260422_200515,2026-04-22T20:07:11.387596+00:00,rappi,gdl,middle,gdl_zapopan_01,"Av. Patria 1891, Zapopan",20.712,-103.4125,1923209053,McDonald's (Plaza Patria) F,big_mac,Big Mac,100.0,100.0,,,14.0,14.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
572abf9bdb934fcd91a68da3a5f4ef19,run_20260422_200515,2026-04-22T20:07:11.387596+00:00,rappi,gdl,middle,gdl_zapopan_01,"Av. Patria 1891, Zapopan",20.712,-103.4125,1923209053,McDonald's (Plaza Patria) F,happy_meal,Hamburguesa,45.0,45.0,,,14.0,14.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
d81607c165904db3aad9dd144def13f6,run_20260422_200515,2026-04-22T20:07:17.987737+00:00,rappi,gdl,peripheral,gdl_tlaquepaque_01,"Av. Niños Héroes 112, Tlaquepaque",20.6408,-103.3128,1923209063,McDonald's (Forum) F,mcnuggets_10,McNuggets de 10 Piezas,100.0,100.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
8151548e021b4506a035be5935e29a13,run_20260422_200515,2026-04-22T20:07:17.987737+00:00,rappi,gdl,peripheral,gdl_tlaquepaque_01,"Av. Niños Héroes 112, Tlaquepaque",20.6408,-103.3128,1923209063,McDonald's (Forum) F,big_mac,Big Mac,100.0,100.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
79864a3959564eba83f5d6837e2a8f0f,run_20260422_200515,2026-04-22T20:07:17.987737+00:00,rappi,gdl,peripheral,gdl_tlaquepaque_01,"Av. Niños Héroes 112, Tlaquepaque",20.6408,-103.3128,1923209063,McDonald's (Forum) F,happy_meal,Hamburguesa,45.0,45.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
49ea9c3b232441ccacac4f9434aefccc,run_20260422_200515,2026-04-22T20:07:25.220795+00:00,rappi,gdl,peripheral,gdl_tonala_01,"Av. Tonaltecas 140, Tonalá",20.6235,-103.2344,1923209056,McDonald's (Río Nilo) F,mcnuggets_10,McNuggets de 10 Piezas,100.0,100.0,,,25.0,25.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
